index,title,photo,link
1,Puerto Rican parrot threatened by climate-driven storms,https://assets1.cbsnewsstatic.com/hub/i/2024/04/12/131801b5-8fb9-445e-b7fd-2ce3b014f6a3/pr-05.jpg,https://www.cbsnews.com/news/puerto-rico-parrot-most-endangered-species-climate-change/
2,Too hot for a lizard? Climate change quickens extinction,https://assets1.cbsnewsstatic.com/hub/i/2024/04/19/76fdb817-865d-44c8-980a-944f3558bdf6/az-2.jpg,https://www.cbsnews.com/news/lizard-population-declining-climate-change/
3,Colorado pollinators declining due to climate change,https://assets1.cbsnewsstatic.com/hub/i/2024/04/17/ab20d50f-9fb5-4b8a-8957-cd634bba17d4/cover-vo-hummingbirds-frame-162.jpg,https://www.cbsnews.com/colorado/news/john-mola-arvind-panjabi-pollinator-hummingbird-bees-bird-conservancy-csu/
4,Ghost forests serve as NJ's haunting reminder of climate change,https://assets1.cbsnewsstatic.com/hub/i/r/2024/04/15/fe66e0cf-580c-4a71-9a19-ff95c3cc83f7/thumbnail/1240x698/2825d13248fbf839f5cd23cdef879fbc/ghost-forests.jpg,https://www.cbsnews.com/philadelphia/news/ghost-forests-new-jersey-atlantic-white-cedars/
5,Detroit experts try to help restore butterfly populations,https://assets1.cbsnewsstatic.com/hub/i/r/2023/03/21/aeeb63b4-248a-4a5d-9fc6-c5cecbbcbf89/crop/8256x5504%2B0%2B0/resize/240x180/91cf624df9aaa188a6c71ea6b51d836c/gettyimages-1246834226.jpg,https://www.cbsnews.com/detroit/news/monarch-butterflies-are-missing-whats-to-blame-for-their-shrinking-population/
6,SoCal gray whales on the brink of extinction,https://assets1.cbsnewsstatic.com/hub/i/2024/04/17/fc47191d-37d5-4a7f-84d3-3f46e59cab34/gettyimages-504727216.jpg,https://www.cbsnews.com/losangeles/news/climate-change-is-putting-gray-whales-on-the-brink-of-possible-extinction/
7,"Texans fight extinction crisis in urban landscape, saving native birds",https://assets1.cbsnewsstatic.com/hub/i/r/2024/04/22/29f8f67f-0d1b-4aff-9caf-701ffb31f7f3/crop/5159x4423%2B0%2B0/resize/240x180/e7060075ae25fc6db4d189c3884cd84f/gettyimages-1838929607.jpg,https://www.cbsnews.com/texas/news/north-texans-fight-mass-extinction-crisis-in-crowded-urban-landscape/
8,Climate change putting popular piping plovers at risk of extinction,https://assets1.cbsnewsstatic.com/hub/i/2024/04/22/0f6e5f5e-f89e-43f9-b459-3e9cf9ce210c/piping-plovers.jpg,https://www.cbsnews.com/chicago/news/climate-change-piping-plovers-monty-rose-montrose-beach-earth-day/
9,Salamander's absence from PA's waterways is a warning sign,https://assets1.cbsnewsstatic.com/hub/i/2024/04/17/edb5ce9b-493d-43c2-9999-59f664c7d42d/hellbender-pittsburgh-zoo.png,https://www.cbsnews.com/pittsburgh/news/eastern-hellbenders-disappearing-pennsylvania-rivers-streams-climate-change/
10,Minnesota's Northwoods could disappear in 50 years,https://assets1.cbsnewsstatic.com/hub/i/2024/04/22/9e030e9d-5706-4dc3-8b48-5413665088f6/mn-forests-on-the-brink-wcco590s.jpg,https://www.cbsnews.com/minnesota/news/minnesotas-northwoods-on-the-brink-heres-whats-being-done-about-it/
11,Could some species dying on Earth be saved in outer space?,https://assets1.cbsnewsstatic.com/hub/i/2024/03/24/4247e716-be29-494b-953e-355238d8e566/gettyimages-1247873839.jpg,https://www.cbsnews.com/news/how-space-can-save-animals-on-earth/
12,Poll: Majority favor taking steps to reduce climate change,https://assets1.cbsnewsstatic.com/hub/i/r/2022/07/07/c71f81bb-c2a1-41c3-862a-dfe61fc9b347/crop/6000x4000%2B0%2B0/resize/240x180/d73b7abe254f59eebaa5ff4c75983be6/download.jpg,https://www.cbsnews.com/news/poll-reduce-climate-change-extreme-weather-04-21-2024/
